,date,open,high,low,close,volume,tic
68,2020.09.07,1.32261,1.32297,1.32261,1.32297,41,GBPUSD
69,2020.09.07,1.32294,1.32303,1.32294,1.323,38,GBPUSD
70,2020.09.07,1.323,1.32303,1.32266,1.32275,57,GBPUSD
71,2020.09.07,1.32275,1.323,1.32267,1.3229,51,GBPUSD
72,2020.09.07,1.3229,1.3229799999999998,1.3225799999999999,1.3226,59,GBPUSD
73,2020.09.07,1.3226,1.32263,1.3223200000000002,1.32235,78,GBPUSD
74,2020.09.07,1.32235,1.32265,1.3223,1.32257,49,GBPUSD
75,2020.09.07,1.32256,1.3227200000000001,1.32255,1.3226,46,GBPUSD
76,2020.09.07,1.32261,1.32295,1.3226,1.32285,52,GBPUSD
77,2020.09.07,1.32285,1.32313,1.32276,1.32307,46,GBPUSD
78,2020.09.07,1.32307,1.3232899999999999,1.32292,1.32323,65,GBPUSD
79,2020.09.07,1.32323,1.32332,1.323,1.32324,66,GBPUSD
80,2020.09.07,1.32325,1.3234700000000001,1.32324,1.3234700000000001,70,GBPUSD
81,2020.09.07,1.3234700000000001,1.3235700000000001,1.32324,1.3233700000000002,62,GBPUSD
82,2020.09.07,1.32338,1.3238,1.32338,1.32365,50,GBPUSD
83,2020.09.07,1.32365,1.32365,1.3234700000000001,1.32355,51,GBPUSD
84,2020.09.07,1.32355,1.3237299999999999,1.32354,1.32365,30,GBPUSD
85,2020.09.07,1.32365,1.32371,1.32346,1.32358,40,GBPUSD
86,2020.09.07,1.32358,1.3238,1.32355,1.32371,62,GBPUSD
87,2020.09.07,1.3237,1.3237,1.3234299999999999,1.32346,53,GBPUSD
88,2020.09.07,1.32346,1.3235299999999999,1.32332,1.32342,42,GBPUSD
89,2020.09.07,1.32342,1.32342,1.32322,1.32323,45,GBPUSD
90,2020.09.07,1.32322,1.32322,1.3227200000000001,1.32273,40,GBPUSD
91,2020.09.07,1.32273,1.3228799999999998,1.32266,1.3228799999999998,48,GBPUSD
92,2020.09.07,1.3228799999999998,1.32314,1.32287,1.32293,48,GBPUSD
93,2020.09.07,1.32293,1.32295,1.3228799999999998,1.3228799999999998,36,GBPUSD
94,2020.09.07,1.3228799999999998,1.32292,1.32244,1.32244,55,GBPUSD
95,2020.09.07,1.32243,1.32247,1.32225,1.32228,45,GBPUSD
96,2020.09.07,1.32228,1.3223799999999999,1.32225,1.32227,26,GBPUSD
97,2020.09.07,1.3223,1.32233,1.3222399999999999,1.32227,22,GBPUSD
98,2020.09.07,1.32227,1.32227,1.32155,1.3216299999999999,45,GBPUSD
99,2020.09.07,1.3216299999999999,1.3220399999999999,1.3216299999999999,1.32194,42,GBPUSD
100,2020.09.07,1.3219299999999998,1.32231,1.3219299999999998,1.32231,36,GBPUSD
101,2020.09.07,1.32231,1.32254,1.32231,1.32235,38,GBPUSD
102,2020.09.07,1.32235,1.32254,1.3223,1.3223,24,GBPUSD
103,2020.09.07,1.3223,1.32254,1.3223,1.32253,40,GBPUSD
104,2020.09.07,1.32253,1.3228,1.32251,1.32276,53,GBPUSD
105,2020.09.07,1.32276,1.3229,1.32267,1.3228799999999998,49,GBPUSD
106,2020.09.07,1.3228600000000001,1.3228799999999998,1.3223200000000002,1.32233,45,GBPUSD
107,2020.09.07,1.32233,1.32235,1.3220100000000001,1.32218,63,GBPUSD
108,2020.09.07,1.32218,1.32223,1.32199,1.32199,55,GBPUSD
109,2020.09.07,1.32199,1.3220299999999998,1.32197,1.32198,54,GBPUSD
110,2020.09.07,1.322,1.32216,1.32195,1.32212,55,GBPUSD
111,2020.09.07,1.32213,1.3221399999999999,1.32198,1.32213,60,GBPUSD
112,2020.09.07,1.32213,1.32218,1.32207,1.32207,26,GBPUSD
113,2020.09.07,1.32207,1.32207,1.32165,1.32165,31,GBPUSD
114,2020.09.07,1.32164,1.32168,1.32139,1.3214700000000001,49,GBPUSD
115,2020.09.07,1.3214700000000001,1.32161,1.32112,1.32113,39,GBPUSD
116,2020.09.07,1.32113,1.32121,1.32089,1.32089,49,GBPUSD
117,2020.09.07,1.32089,1.32093,1.3206200000000001,1.32073,26,GBPUSD
118,2020.09.07,1.32073,1.32073,1.3204200000000001,1.3205200000000001,67,GBPUSD
119,2020.09.07,1.3205200000000001,1.32053,1.32037,1.3204200000000001,24,GBPUSD
120,2020.09.07,1.32043,1.3205200000000001,1.3203799999999999,1.32047,24,GBPUSD
121,2020.09.07,1.32047,1.3204799999999999,1.32015,1.32015,47,GBPUSD
122,2020.09.07,1.32015,1.32015,1.3194700000000001,1.31956,46,GBPUSD
123,2020.09.07,1.31956,1.3197,1.319,1.31913,65,GBPUSD
124,2020.09.07,1.31913,1.31913,1.31867,1.31882,74,GBPUSD
125,2020.09.07,1.3188,1.31911,1.31879,1.3189799999999998,56,GBPUSD
126,2020.09.07,1.3189799999999998,1.3191899999999999,1.31897,1.3190899999999999,38,GBPUSD
127,2020.09.07,1.3190899999999999,1.3194299999999999,1.3190899999999999,1.31924,46,GBPUSD
128,2020.09.07,1.31924,1.3193700000000002,1.31867,1.31882,59,GBPUSD
129,2020.09.07,1.31883,1.31911,1.31882,1.31897,26,GBPUSD
130,2020.09.07,1.31897,1.3189899999999999,1.31865,1.3189600000000001,43,GBPUSD
131,2020.09.07,1.3189600000000001,1.3191700000000002,1.3189600000000001,1.3190899999999999,37,GBPUSD
132,2020.09.07,1.3190899999999999,1.31925,1.3189600000000001,1.3191,42,GBPUSD
133,2020.09.07,1.3191,1.31942,1.3191,1.3193,40,GBPUSD
134,2020.09.07,1.3193,1.31932,1.31908,1.3191,26,GBPUSD
135,2020.09.07,1.31911,1.3195700000000001,1.3191,1.3195,51,GBPUSD
136,2020.09.07,1.3195,1.31968,1.3194700000000001,1.3195299999999999,56,GBPUSD
137,2020.09.07,1.3195299999999999,1.32003,1.31952,1.3199100000000001,46,GBPUSD
138,2020.09.07,1.3199100000000001,1.32023,1.31987,1.32015,69,GBPUSD
139,2020.09.07,1.32009,1.3201,1.31969,1.3197,39,GBPUSD
140,2020.09.07,1.3197,1.3198,1.31945,1.31945,27,GBPUSD
141,2020.09.07,1.31945,1.31949,1.3193,1.31932,31,GBPUSD
142,2020.09.07,1.31932,1.31932,1.31845,1.31845,63,GBPUSD
143,2020.09.07,1.31845,1.31853,1.31807,1.31807,63,GBPUSD
144,2020.09.07,1.3181,1.31827,1.31808,1.3182,24,GBPUSD
145,2020.09.07,1.31807,1.31828,1.3175700000000001,1.3175700000000001,54,GBPUSD
146,2020.09.07,1.3175700000000001,1.3181,1.31745,1.31777,67,GBPUSD
147,2020.09.07,1.31776,1.31805,1.31776,1.31795,38,GBPUSD
148,2020.09.07,1.31795,1.31805,1.31777,1.3178,35,GBPUSD
149,2020.09.07,1.3178,1.31787,1.31777,1.31777,21,GBPUSD
150,2020.09.07,1.31777,1.31823,1.31777,1.31823,43,GBPUSD
151,2020.09.07,1.31823,1.3184200000000001,1.3180399999999999,1.31835,46,GBPUSD
152,2020.09.07,1.3183200000000002,1.31833,1.31805,1.3182399999999999,47,GBPUSD
153,2020.09.07,1.3182399999999999,1.31826,1.31815,1.31826,38,GBPUSD
154,2020.09.07,1.31825,1.31826,1.31806,1.31818,43,GBPUSD
155,2020.09.07,1.3182,1.31836,1.31806,1.31816,53,GBPUSD
156,2020.09.07,1.31816,1.3182200000000002,1.3181399999999999,1.31816,24,GBPUSD
157,2020.09.07,1.31821,1.31836,1.31803,1.31813,55,GBPUSD
