,q_values,state,action
171,[[0.8577045 0.8274774 0.7717352]],"[ 0.14200742 -0.17087784  0.37163997 -0.95155709  0.0017285   0.
  1.          0.        ]",[1. 0. 0.]
172,[[0.913502   0.8971545  0.85268754]],"[ 0.43825889  0.15159054 -0.8896072  -0.86851211  0.00184958  0.
  1.          0.        ]",[1. 0. 0.]
173,[[1.0238218  1.0009135  0.97569394]],"[ 0.46871843  0.2484055  -0.8896072  -0.95155709  0.00186471  0.
  1.          0.        ]",[1. 0. 0.]
174,[[1.0955987 1.0705979 1.059052 ]],"[ 0.12820402  0.00260832 -0.36202232 -0.92387543  0.00171337  0.
  1.          0.        ]",[1. 0. 0.]
175,[[0.9371522 0.9394516 0.884532 ]],"[ 0.19464077 -0.06776994 -0.36202232 -0.97923875  0.00174364  0.
  1.          0.        ]",[0. 1. 0.]
176,[[0.96237993 0.96030164 0.9079983 ]],"[ 0.28956452  0.03237893 -0.95833011 -0.83391003  0.00178904  0.
  1.          0.        ]",[1. 0. 0.]
177,[[0.9467052 0.9301589 0.8942718]],"[-0.05079022 -0.32657769 -0.55321681 -0.91695502  0.00157712  0.
  1.          0.        ]",[1. 0. 0.]
178,[[0.89898837 0.8527887  0.8842384 ]],"[-0.05079022 -0.42919578 -0.55321681 -0.97231834  0.00157712  0.
  1.          0.        ]",[1. 0. 0.]
179,[[0.9280115  0.87330574 0.9415252 ]],"[ 0.1045075  -0.19862334 -0.88150019 -0.94463668  0.          1.
  0.          0.        ]",[0. 0. 1.]
180,[[1.1008239 0.9038017 1.0817889]],"[ 0.07042698 -0.16874403 -0.88150019 -0.97231834  0.          1.
  0.          0.        ]",[1. 0. 0.]
181,[[1.1116937 0.920393  1.0716075]],"[ 0.01425521 -0.21471558 -0.72139932 -0.97923875  0.          1.
  0.          0.        ]",[1. 0. 0.]
182,[[1.1074278 0.8934604 1.0802894]],"[ 0.00291967 -0.18560045 -0.72139932 -0.97923875  0.          1.
  0.          0.        ]",[1. 0. 0.]
183,[[1.1079471 0.9026065 1.0646524]],"[-0.04314677 -0.20376681 -0.47585221 -0.91695502  0.          1.
  0.          0.        ]",[1. 0. 0.]
184,[[1.0757931 0.8442661 1.0514436]],"[-0.02399029 -0.15302342 -0.47585221 -0.91695502  0.          1.
  0.          0.        ]",[1. 0. 0.]
185,[[1.0754912 0.8657263 1.0291259]],"[-0.10628766 -0.1574048  -0.47585221 -0.92387543  0.          1.
  0.          0.        ]",[1. 0. 0.]
186,[[1.0722511 0.8491641 1.0245609]],"[ 0.06426475 -0.12382782 -0.47585221 -0.95155709  0.          1.
  0.          0.        ]",[1. 0. 0.]
187,[[1.0944028 0.9088803 1.0335809]],"[ 0.22669006  0.0477682  -0.94919334 -0.97923875  0.          1.
  0.          0.        ]",[1. 0. 0.]
188,[[1.1367664 1.0302509 0.9988315]],"[ 0.17062167  0.04023014 -0.90757541 -0.97231834  0.          1.
  0.          0.        ]",[1. 0. 0.]
189,[[1.1307211  1.0171807  0.99116504]],"[ 0.18708674  0.11276341 -0.90757541 -0.97231834  0.          1.
  0.          0.        ]",[1. 0. 0.]
190,[[1.1418378 1.0472687 0.9687888]],"[ 0.10063468  0.07038418 -0.67405787 -0.97231834  0.          1.
  0.          0.        ]",[1. 0. 0.]
191,[[1.1296417  1.0159494  0.96780163]],"[ 0.10063468 -0.01433307 -0.67405787 -1.          0.          1.
  0.          0.        ]",[1. 0. 0.]
192,[[1.1305482  0.99555874 1.0038579 ]],"[ 0.10063468  0.02875332 -1.         -0.98615917  0.          1.
  0.          0.        ]",[1. 0. 0.]
193,[[1.1308429 1.011381  0.9908326]],"[ 0.21939895  0.20312096 -0.72161524 -0.98615917  0.          1.
  0.          0.        ]",[1. 0. 0.]
194,[[1.1613654 1.0919816 0.9462043]],"[ 0.21939895  0.38286329 -0.35808597 -0.95847751  0.          1.
  0.          0.        ]",[1. 0. 0.]
195,[[1.1780936 1.140044  0.9032809]],"[ 0.21939895  0.25493596 -0.35808597 -1.          0.          1.
  0.          0.        ]",[1. 0. 0.]
196,[[1.1499372  1.1027709  0.91669273]],"[ 0.24167341  0.28986737 -0.10873229 -0.97923875  0.          1.
  0.          0.        ]",[1. 0. 0.]
197,[[1.1428373  1.0962543  0.90105313]],"[ 0.30871439  0.31373033 -0.05296368 -0.95155709  0.          1.
  0.          0.        ]",[1. 0. 0.]
198,[[1.1530691  1.1236613  0.89813954]],"[ 0.30871439  0.31373033 -0.05296368 -0.95155709  0.          1.
  0.          0.        ]",[1. 0. 0.]
