,q_values,state,action
39,[[1.0568537  0.82275623 0.994292  ]],"[-0.20114854 -0.17944156 -0.17036044 -0.94463668  0.          1.
  0.          0.        ]",[1. 0. 0.]
40,[[1.0741771 0.7978149 1.0260959]],"[-0.2464357  -0.23324813 -0.17036044 -0.93079585  0.          1.
  0.          0.        ]",[1. 0. 0.]
41,[[1.0649456  0.76775515 1.0422056 ]],"[-0.2464357  -0.20249262 -0.25569774 -0.94463668  0.          1.
  0.          0.        ]",[1. 0. 0.]
42,[[1.0663308 0.7913733 1.0290173]],"[ 0.38865912  0.16189617 -0.34266351 -0.90311419  0.          1.
  0.          0.        ]",[1. 0. 0.]
43,[[1.1501169  1.0966034  0.95875365]],"[ 0.04465185  0.06605887 -0.29190667 -0.88235294  0.          1.
  0.          0.        ]",[1. 0. 0.]
44,[[1.0629964 0.9262881 0.9289734]],"[ 0.0165957  -0.18325205 -0.34970852 -0.93771626  0.          1.
  0.          0.        ]",[1. 0. 0.]
45,[[1.0912328 0.8718868 1.055995 ]],"[-0.05619755 -0.27911912 -0.87343591 -0.97231834  0.          1.
  0.          0.        ]",[1. 0. 0.]
46,[[1.101965   0.87310296 1.1074843 ]],"[ 0.119886   -0.11736349 -0.8316717  -0.95155709  0.00179695  0.
  0.          1.        ]",[0. 0. 1.]
47,[[1.1898146 1.2598614 1.2174464]],"[ 0.05195827 -0.08178993 -0.70045199 -0.92387543  0.          1.
  0.          0.        ]",[0. 1. 0.]
48,[[1.0900456 0.9229062 1.0044185]],"[ 0.05195827 -0.05149108 -0.61163913 -0.97923875  0.          1.
  0.          0.        ]",[1. 0. 0.]
49,[[1.1137781  0.95683485 1.0087143 ]],"[-0.07779024 -0.26316401 -0.41070536 -0.91695502  0.          1.
  0.          0.        ]",[1. 0. 0.]
50,[[1.0767057 0.8169456 1.0765817]],"[ 0.0860475  -0.35881093 -0.2116485  -0.93079585  0.          1.
  0.          0.        ]",[1. 0. 0.]
51,[[1.1080577 0.824698  1.152045 ]],"[-0.00520624 -0.29221159 -0.2116485  -0.98615917  0.00197162  0.
  0.          1.        ]",[0. 0. 1.]
52,[[1.1971397 1.2853153 1.2313784]],"[-0.07235793 -0.32779969 -0.13190798 -0.97923875  0.          1.
  0.          0.        ]",[0. 1. 0.]
53,[[1.1063962  0.80838645 1.1228198 ]],"[-0.13522344 -0.076174   -0.18640437 -0.89619377  0.00195669  0.
  0.          1.        ]",[0. 0. 1.]
54,[[1.1004688 1.159338  1.0967376]],"[ 0.31673874  0.27083289 -0.18640437 -0.99307958  0.          1.
  0.          0.        ]",[0. 1. 0.]
55,[[1.1629119 1.1316446 0.9196199]],"[ 0.18156518  0.05491539 -0.91354018 -0.95847751  0.          1.
  0.          0.        ]",[1. 0. 0.]
56,[[1.1280113 1.017918  0.9844625]],"[ 0.1196727   0.4074431  -0.09254678 -0.97923875  0.          1.
  0.          0.        ]",[1. 0. 0.]
57,[[1.1552219 1.0797303 0.8883297]],"[ 0.25410538 -0.20256239 -0.78786603 -0.94463668  0.          1.
  0.          0.        ]",[1. 0. 0.]
58,[[1.0983372 0.9165332 1.0935285]],"[ 0.12299929 -0.10981028 -0.78786603 -0.93771626  0.          1.
  0.          0.        ]",[1. 0. 0.]
59,[[1.0978924 0.9287624 1.0322737]],"[ 0.1679381  -0.29034831 -0.68810577 -0.94463668  0.          1.
  0.          0.        ]",[1. 0. 0.]
60,[[1.0952426 0.8706214 1.1230754]],"[ 0.19547451  0.03777027 -0.75115226 -0.93079585  0.00187294  0.
  0.          1.        ]",[0. 0. 1.]
61,[[1.1039474 1.1659342 1.1139271]],"[ 0.05014709 -0.17686341 -0.49280526 -0.93079585  0.          1.
  0.          0.        ]",[0. 1. 0.]
62,[[1.0844026  0.87915576 1.0512303 ]],"[ 0.0084557  -0.28555968 -0.34690086 -0.8615917   0.          1.
  0.          0.        ]",[1. 0. 0.]
63,[[1.0697641  0.80245006 1.0873051 ]],"[ 0.02976619 -0.26408488 -0.28480351 -0.96539792  0.00188085  0.
  0.          1.        ]",[0. 0. 1.]
64,[[1.1808257 1.2595849 1.2195202]],"[ 0.14465456 -0.07388352 -0.33211151 -0.95847751  0.          1.
  0.          0.        ]",[0. 1. 0.]
65,[[1.1022913  0.94360214 1.0244148 ]],"[ 0.11939426  0.1657574  -0.4624621  -0.87543253  0.          1.
  0.          0.        ]",[1. 0. 0.]
66,[[1.096634   1.0007333  0.91127664]],"[ 0.51246464  0.40252726 -0.4624621  -0.93771626  0.          1.
  0.          0.        ]",[1. 0. 0.]
67,[[1.2563514  1.2702879  0.95628905]],"[ 0.54265315  0.35348767 -0.4624621  -0.97231834  0.00193303  0.
  1.          0.        ]",[0. 1. 0.]
68,[[1.1879874 1.1617069 1.1801548]],"[ 0.37491254  0.38412019 -0.23287475 -0.97923875  0.00178926  0.
  1.          0.        ]",[1. 0. 0.]
69,[[1.150486  1.1493102 1.1553645]],"[ 0.15436346 -0.03350362 -0.92647028 -0.92387543  0.          1.
  0.          0.        ]",[0. 0. 1.]
70,[[1.0975904 0.9602772 1.0010514]],"[ 0.28559819  0.08665578 -0.92647028 -0.97231834  0.          1.
  0.          0.        ]",[1. 0. 0.]
71,[[1.1437663 1.0502208 0.9935253]],"[ 0.16543481 -0.02471277 -0.92647028 -0.97231834  0.          1.
  0.          0.        ]",[1. 0. 0.]
72,[[1.1200073 0.9891881 1.0119107]],"[ 0.17260005 -0.09238769 -0.60201337 -0.96539792  0.          1.
  0.          0.        ]",[1. 0. 0.]
73,[[1.1089083 0.9504978 1.0315254]],"[ 0.19524178 -0.05660839 -0.64186234 -0.94463668  0.          1.
  0.          0.        ]",[1. 0. 0.]
74,[[1.1065139  0.96304625 1.0151391 ]],"[ 0.18810184 -0.08465673 -0.47246333 -0.95847751  0.          1.
  0.          0.        ]",[1. 0. 0.]
75,[[1.1039398 0.946038  1.0299188]],"[ 0.11628936 -0.10615679 -0.52163768 -0.83391003  0.          1.
  0.          0.        ]",[1. 0. 0.]
76,[[1.0500486  0.8696454  0.99804246]],"[ 0.1019437  -0.07814152 -0.7258442  -0.94463668  0.          1.
  0.          0.        ]",[1. 0. 0.]
77,[[1.1006755 0.9414749 1.0141575]],"[ 0.1019437  -0.15376236 -0.70557528 -0.97923875  0.          1.
  0.          0.        ]",[1. 0. 0.]
78,[[1.1117774  0.92642635 1.0590777 ]],"[ 0.05478123 -0.11018687 -0.99679412 -0.95847751  0.          1.
  0.          0.        ]",[1. 0. 0.]
79,[[1.1135311 0.9423446 1.043252 ]],"[ 0.35927445  0.07005958 -0.62165778 -0.95155709  0.          1.
  0.          0.        ]",[1. 0. 0.]
80,[[1.1465279  1.0635095  0.99186546]],"[ 0.23751109  0.11199417 -0.50640588 -0.89619377  0.          1.
  0.          0.        ]",[1. 0. 0.]
81,[[1.1164312 1.02427   0.9515825]],"[ 0.19895648  0.0171465  -0.6953949  -0.92387543  0.          1.
  0.          0.        ]",[1. 0. 0.]
82,[[1.1088506  0.98666245 0.9859972 ]],"[ 0.22512583  0.07701939 -0.82235161 -0.92387543  0.          1.
  0.          0.        ]",[1. 0. 0.]
83,[[1.1190248  1.0147765  0.97118217]],"[ 0.19963172  0.09496202 -0.82235161 -0.95847751  0.          1.
  0.          0.        ]",[1. 0. 0.]
84,[[1.1344312 1.0346059 0.9702047]],"[ 0.5905629   0.74446556  0.05826888 -0.87543253  0.          1.
  0.          0.        ]",[1. 0. 0.]
85,[[1.3612967  1.4439423  0.92299974]],"[ 0.61633484  0.68730363  0.19847621 -0.88927336  0.00193289  0.
  1.          0.        ]",[0. 1. 0.]
86,[[1.3627684 1.2976308 1.4133744]],"[ 0.4220595   0.38091017 -0.31955302 -0.86851211  0.          1.
  0.          0.        ]",[0. 0. 1.]
87,[[1.2038459  1.2037945  0.91558516]],"[ 0.35350356  0.22037691 -0.74160009 -0.93079585  0.          1.
  0.          0.        ]",[1. 0. 0.]
88,[[1.1747415 1.1208322 0.9585961]],"[ 0.33047861  0.17421476 -0.74160009 -0.96539792  0.          1.
  0.          0.        ]",[1. 0. 0.]
89,[[1.1680688 1.1002343 0.9663565]],"[ 0.21883383 -0.03632657 -0.52855706 -0.91695502  0.          1.
  0.          0.        ]",[1. 0. 0.]
90,[[1.0979962 0.9627961 1.0037688]],"[-0.07191352 -0.25556086 -0.29330635 -0.95847751  0.          1.
  0.          0.        ]",[1. 0. 0.]
91,[[1.0952528  0.83305573 1.0842575 ]],"[ 0.18607537 -0.09257552 -0.29330635 -0.97231834  0.          1.
  0.          0.        ]",[1. 0. 0.]
92,[[1.1121584  0.95425683 1.0393342 ]],"[ 0.18607537 -0.09599639 -0.29330635 -1.          0.          1.
  0.          0.        ]",[1. 0. 0.]
93,[[1.1191523  0.96081764 1.0467663 ]],"[ 0.28717278 -0.02976567 -0.74622989 -0.95847751  0.          1.
  0.          0.        ]",[1. 0. 0.]
94,[[1.1194143 1.0004953 1.019387 ]],"[ 0.32170667  0.04628091 -0.98346189 -0.46020761  0.          1.
  0.          0.        ]",[1. 0. 0.]
95,[[1.002099   0.9265658  0.95657945]],"[ 0.28315705 -0.00432556 -0.9276303  -0.30103806  0.          1.
  0.          0.        ]",[1. 0. 0.]
96,[[0.942392   0.86173975 0.94461143]],"[ 0.3330785   0.04614735 -0.88097257 -0.47404844  0.00183488  0.
  0.          1.        ]",[0. 0. 1.]
97,[[0.9072221 0.9015324 0.8696533]],"[ 0.37056193  0.07639203 -0.7858119   0.71626298  0.0017893   0.
  0.          1.        ]",[1. 0. 0.]
98,[[0.6552296 0.4541412 0.6613994]],"[ 0.36286977  0.08404907 -0.7858119   1.          0.0017969   0.
  0.          1.        ]",[0. 0. 1.]
99,[[0.6813406  0.45068744 0.7055932 ]],"[ 0.30754873  0.06935134 -0.89509447 -0.69550173  0.00185007  0.
  0.          1.        ]",[0. 0. 1.]
100,[[1.0099862  1.0257715  0.97645384]],"[ 0.35152118  0.17535318 -0.89509447 -0.73010381  0.          1.
  0.          0.        ]",[0. 1. 0.]
101,[[1.0904685 1.0396811 0.9331824]],"[ 0.36654134  0.22357763 -0.89509447 -0.6816609   0.          1.
  0.          0.        ]",[1. 0. 0.]
102,[[1.0977143  1.0526606  0.92768216]],"[ 0.39762163  0.25334196 -0.81473967  0.06574394  0.          1.
  0.          0.        ]",[1. 0. 0.]
103,[[0.9849111 0.923964  0.9042502]],"[ 0.42928014  0.29106535 -0.96414647 -0.25951557  0.          1.
  0.          0.        ]",[1. 0. 0.]
104,[[1.0373034 0.9963237 0.9170914]],"[ 0.40799175  0.27825146 -0.86600916 -0.83391003  0.          1.
  0.          0.        ]",[1. 0. 0.]
105,[[1.1671903 1.1332183 0.9505774]],"[ 0.41687968  0.26647997 -0.86600916 -0.87543253  0.          1.
  0.          0.        ]",[1. 0. 0.]
106,[[1.1779172 1.1435404 0.9618748]],"[ 0.40484254  0.26778606 -0.93470215 -0.8200692   0.          1.
  0.          0.        ]",[1. 0. 0.]
107,[[1.1588687  1.1193944  0.95392793]],"[ 0.11835136 -0.30162428 -0.00319115 -0.97923875  0.          1.
  0.          0.        ]",[1. 0. 0.]
108,[[1.1269512  0.85535425 1.1380199 ]],"[ 0.10964783 -0.44673532  0.05950752 -0.98615917  0.00190336  0.
  0.          1.        ]",[0. 0. 1.]
109,[[1.206646  1.3151239 1.1903826]],"[ 0.18808661  0.00100485 -0.46971189 -0.69550173  0.          1.
  0.          0.        ]",[0. 1. 0.]
110,[[1.0221055  0.8950769  0.92780113]],"[ 0.07781763 -0.23339267 -0.46971189 -0.65397924  0.          1.
  0.          0.        ]",[1. 0. 0.]
111,[[0.9983952  0.75627303 1.0112144 ]],"[ 0.31050048  0.04319723 -0.36480232 -0.63321799  0.00172113  0.
  0.          1.        ]",[0. 0. 1.]
112,[[0.92887086 0.92282504 0.93427604]],"[ 0.33732442  0.14688405 -0.36480232 -0.87543253  0.00169835  0.
  0.          1.        ]",[0. 0. 1.]
113,[[0.9976652  1.0197147  0.97906435]],"[ 0.31645103  0.01812371 -0.78567723 -0.8200692   0.          1.
  0.          0.        ]",[0. 1. 0.]
114,[[1.0808377  0.98594683 0.9794088 ]],"[ 0.11102426 -0.19147876 -0.9613322  -0.84083045  0.          1.
  0.          0.        ]",[1. 0. 0.]
115,[[1.0641431 0.8715339 1.0522537]],"[ 0.12174383 -0.20885998 -0.9613322  -0.92387543  0.          1.
  0.          0.        ]",[1. 0. 0.]
116,[[1.1028507  0.90995544 1.0876697 ]],"[ 0.02930958 -0.27258857 -0.50381294 -0.84775087  0.          1.
  0.          0.        ]",[1. 0. 0.]
117,[[1.0585123  0.80710906 1.074934  ]],"[ 0.04127997 -0.2255849  -0.50381294 -0.95847751  0.00188837  0.
  0.          1.        ]",[0. 0. 1.]
118,[[1.1888945 1.2598009 1.2341796]],"[ 0.05395872 -0.11720946 -0.87297358 -0.96539792  0.          1.
  0.          0.        ]",[0. 1. 0.]
119,[[1.1080041 0.9316746 1.0397934]],"[ 0.27289086  0.02850668 -0.73935306 -0.91695502  0.          1.
  0.          0.        ]",[1. 0. 0.]
120,[[1.113818   1.0066662  0.98991305]],"[ 0.30379598  0.22688913 -0.54818963 -0.96539792  0.          1.
  0.          0.        ]",[1. 0. 0.]
121,[[1.1732969 1.1185493 0.947891 ]],"[ 0.30379598  0.20215248 -0.40021771 -0.88927336  0.          1.
  0.          0.        ]",[1. 0. 0.]
122,[[1.1399843 1.0830007 0.930182 ]],"[ 0.42926261  0.31522432 -0.26113745 -0.93771626  0.          1.
  0.          0.        ]",[1. 0. 0.]
123,[[1.1996692  1.1837145  0.93404233]],"[ 0.52176496  0.4154461  -0.02596768 -0.97231834  0.          1.
  0.          0.        ]",[1. 0. 0.]
124,[[1.2438115 1.2711687 0.9262004]],"[ 0.12345752  0.02126651 -0.78406831 -0.76470588  0.00160011  0.
  1.          0.        ]",[0. 1. 0.]
125,[[0.87786555 0.87689215 0.82559747]],"[ 0.02696576 -0.25662092 -0.53293984 -0.97231834  0.00150167  0.
  1.          0.        ]",[1. 0. 0.]
126,[[0.9305895  0.89326453 0.89212424]],"[ 0.01971052 -0.25034239 -0.53293984 -0.99307958  0.0014941   0.
  1.          0.        ]",[1. 0. 0.]
127,[[0.9381171  0.9019924  0.89755857]],"[ 0.01971052 -0.21072623 -0.50726096 -0.98615917  0.0014941   0.
  1.          0.        ]",[1. 0. 0.]
128,[[0.93545806 0.90514565 0.88828945]],"[ 0.01971052 -0.16081247 -0.64388282 -0.95847751  0.0014941   0.
  1.          0.        ]",[1. 0. 0.]
